Number of words,75205
high,118,0.001569,0.010132
fix,14,0.000186,0.001599
general,12,0.000160,0.001395
theres,17,0.000226,0.001898
talk,3,0.000040,0.000404
feed,3,0.000040,0.000404
friend,25,0.000332,0.002662
cushioned,19,0.000253,0.002093
older,15,0.000199,0.001699
relatively,6,0.000080,0.000753
durable,67,0.000891,0.006257
actual,26,0.000346,0.002755
length,29,0.000386,0.003031
previous,31,0.000412,0.003213
puma,6,0.000080,0.000753
require,8,0.000106,0.000973
choice,30,0.000399,0.003122
runner,24,0.000319,0.002569
stretch,49,0.000652,0.004780
especially,45,0.000598,0.004441
hospital,3,0.000040,0.000404
heavier,6,0.000080,0.000753
continue,15,0.000199,0.001699
working,32,0.000426,0.003303
smart,6,0.000080,0.000753
present,15,0.000199,0.001699
wears,112,0.001489,0.009694
clown,5,0.000066,0.000639
exchanged,5,0.000066,0.000639
inch,10,0.000133,0.001187
forgot,7,0.000093,0.000864
mention,10,0.000133,0.001187
issue,39,0.000519,0.003923
likes,71,0.000944,0.006576
store,83,0.001104,0.007515
green,21,0.000279,0.002285
bright,37,0.000492,0.003748
legit,17,0.000226,0.001898
dope,20,0.000266,0.002189
tends,7,0.000093,0.000864
roomy,5,0.000066,0.000639
enjoying,8,0.000106,0.000973
cloud,7,0.000093,0.000864
glove,35,0.000465,0.003571
tab,3,0.000040,0.000404
original,34,0.000452,0.003482
sale,17,0.000226,0.001898
item,74,0.000984,0.006813
fastest,3,0.000040,0.000404
jus,5,0.000066,0.000639
away,44,0.000585,0.004355
compared,32,0.000426,0.003303
massage,5,0.000066,0.000639
greatbr,7,0.000093,0.000864
update,18,0.000239,0.001996
weeks,31,0.000412,0.003213
blew,4,0.000053,0.000523
warranty,3,0.000040,0.000404
holds,7,0.000093,0.000864
current,12,0.000160,0.001395
difference,15,0.000199,0.001699
tear,16,0.000213,0.001799
fabric,21,0.000279,0.002285
gotten,38,0.000505,0.003835
alot,15,0.000199,0.001699
gymbr,3,0.000040,0.000404
noticeable,8,0.000106,0.000973
glue,21,0.000279,0.002285
mesh,45,0.000598,0.004441
yesterday,9,0.000120,0.001081
florida,5,0.000066,0.000639
lime,4,0.000053,0.000523
rocks,3,0.000040,0.000404
january,4,0.000053,0.000523
disney,3,0.000040,0.000404
world,7,0.000093,0.000864
negative,8,0.000106,0.000973
moment,9,0.000120,0.001081
including,4,0.000053,0.000523
models,7,0.000093,0.000864
fitting,36,0.000479,0.003659
body,3,0.000040,0.000404
heavy,24,0.000319,0.002569
shoesbr,13,0.000173,0.001497
described,50,0.000665,0.004864
hardly,4,0.000053,0.000523
clearly,6,0.000080,0.000753
lint,3,0.000040,0.000404
tread,14,0.000186,0.001599
fact,29,0.000386,0.003031
outside,32,0.000426,0.003303
bottoms,8,0.000106,0.000973
neon,12,0.000160,0.001395
father,8,0.000106,0.000973
important,13,0.000173,0.001497
performance,19,0.000253,0.002093
strings,5,0.000066,0.000639
grow,21,0.000279,0.002285
stand,27,0.000359,0.002848
steel,3,0.000040,0.000404
silver,9,0.000120,0.001081
initially,7,0.000093,0.000864
took,51,0.000678,0.004948
effort,5,0.000066,0.000639
rubs,7,0.000093,0.000864
tops,8,0.000106,0.000973
period,13,0.000173,0.001497
ready,4,0.000053,0.000523
firm,9,0.000120,0.001081
sock,17,0.000226,0.001898
tie,15,0.000199,0.001699
quicker,9,0.000120,0.001081
hold,33,0.000439,0.003393
fitness,6,0.000080,0.000753
center,3,0.000040,0.000404
cleats,71,0.000944,0.006576
played,48,0.000638,0.004695
complaining,5,0.000066,0.000639
beat,26,0.000346,0.002755
grate,3,0.000040,0.000404
knew,25,0.000332,0.002662
animal,3,0.000040,0.000404
website,10,0.000133,0.001187
nikecom,3,0.000040,0.000404
warmer,3,0.000040,0.000404
knit,6,0.000080,0.000753
exercising,3,0.000040,0.000404
goo,3,0.000040,0.000404
specifically,6,0.000080,0.000753
clouds,13,0.000173,0.001497
beats,3,0.000040,0.000404
stating,4,0.000053,0.000523
pegasus,28,0.000372,0.002940
nimbus,3,0.000040,0.000404
brooks,8,0.000106,0.000973
closest,3,0.000040,0.000404
complaint,26,0.000346,0.002755
dang,6,0.000080,0.000753
mentioned,13,0.000173,0.001497
reflective,4,0.000053,0.000523
print,10,0.000133,0.001187
isnt,29,0.000386,0.003031
pics,5,0.000066,0.000639
search,5,0.000066,0.000639
bummer,4,0.000053,0.000523
pictures,15,0.000199,0.001699
indoor,26,0.000346,0.002755
track,10,0.000133,0.001187
touch,11,0.000146,0.001292
realize,14,0.000186,0.001599
research,7,0.000093,0.000864
wet,39,0.000519,0.003923
previously,8,0.000106,0.000973
differently,5,0.000066,0.000639
rub,17,0.000226,0.001898
regular,62,0.000824,0.005854
cold,5,0.000066,0.000639
stuff,20,0.000266,0.002189
proof,4,0.000053,0.000523
home,15,0.000199,0.001699
line,27,0.000359,0.002848
photo,12,0.000160,0.001395
rotate,3,0.000040,0.000404
forth,3,0.000040,0.000404
feetbr,10,0.000133,0.001187
type,29,0.000386,0.003031
soft,64,0.000851,0.006016
ride,5,0.000066,0.000639
theme,4,0.000053,0.000523
park,4,0.000053,0.000523
breathe,15,0.000199,0.001699
suede,13,0.000173,0.001497
nylon,7,0.000093,0.000864
remain,4,0.000053,0.000523
typically,18,0.000239,0.001996
fan,44,0.000585,0.004355
provides,18,0.000239,0.001996
practically,4,0.000053,0.000523
shown,15,0.000199,0.001699
lasted,45,0.000598,0.004441
saying,11,0.000146,0.001292
simple,15,0.000199,0.001699
depending,7,0.000093,0.000864
consider,8,0.000106,0.000973
dark,17,0.000226,0.001898
discovered,4,0.000053,0.000523
sucks,4,0.000053,0.000523
werent,18,0.000239,0.001996
close,18,0.000239,0.001996
requested,4,0.000053,0.000523
expense,4,0.000053,0.000523
restocking,3,0.000040,0.000404
fee,7,0.000093,0.000864
squeak,18,0.000239,0.001996
tile,3,0.000040,0.000404
floors,9,0.000120,0.001081
holding,11,0.000146,0.001292
shipment,12,0.000160,0.001395
decent,19,0.000253,0.002093
currently,10,0.000133,0.001187
preferred,7,0.000093,0.000864
logged,3,0.000040,0.000404
medium,9,0.000120,0.001081
distances,5,0.000066,0.000639
marathon,7,0.000093,0.000864
alternate,4,0.000053,0.000523
wearer,3,0.000040,0.000404
distance,9,0.000120,0.001081
runners,10,0.000133,0.001187
discontinued,13,0.000173,0.001497
thembr,9,0.000120,0.001081
cheaper,29,0.000386,0.003031
padded,16,0.000213,0.001799
ground,21,0.000279,0.002285
vomeros,4,0.000053,0.000523
theyve,7,0.000093,0.000864
brands,29,0.000386,0.003031
padding,21,0.000279,0.002285
come,49,0.000652,0.004780
squishy,4,0.000053,0.000523
numb,3,0.000040,0.000404
turns,4,0.000053,0.000523
stable,18,0.000239,0.001996
pad,3,0.000040,0.000404
stay,35,0.000465,0.003571
lightest,3,0.000040,0.000404
arent,22,0.000293,0.002380
coolest,6,0.000080,0.000753
round,26,0.000346,0.002755
changing,7,0.000093,0.000864
according,6,0.000080,0.000753
dog,8,0.000106,0.000973
town,10,0.000133,0.001187
climbing,3,0.000040,0.000404
means,7,0.000093,0.000864
particularly,4,0.000053,0.000523
throw,7,0.000093,0.000864
wash,8,0.000106,0.000973
straight,18,0.000239,0.001996
pack,4,0.000053,0.000523
mud,4,0.000053,0.000523
basis,3,0.000040,0.000404
assume,5,0.000066,0.000639
approximately,3,0.000040,0.000404
finding,15,0.000199,0.001699
anymore,18,0.000239,0.001996
sit,3,0.000040,0.000404
hits,4,0.000053,0.000523
score,5,0.000066,0.000639
options,7,0.000093,0.000864
enjoyed,7,0.000093,0.000864
jog,7,0.000093,0.000864
difficult,11,0.000146,0.001292
pull,11,0.000146,0.001292
imagine,7,0.000093,0.000864
ways,4,0.000053,0.000523
soften,5,0.000066,0.000639
adjust,8,0.000106,0.000973
lacing,6,0.000080,0.000753
late,7,0.000093,0.000864
outlet,12,0.000160,0.001395
tend,14,0.000186,0.001599
manufactured,6,0.000080,0.000753
vietnam,4,0.000053,0.000523
till,4,0.000053,0.000523
pavement,4,0.000053,0.000523
trails,4,0.000053,0.000523
proven,3,0.000040,0.000404
arthritic,3,0.000040,0.000404
giving,19,0.000253,0.002093
trouble,5,0.000066,0.000639
obviously,7,0.000093,0.000864
helped,19,0.000253,0.002093
admit,3,0.000040,0.000404
progressively,3,0.000040,0.000404
unique,10,0.000133,0.001187
prefer,19,0.000253,0.002093
traditional,11,0.000146,0.001292
switch,6,0.000080,0.000753
power,3,0.000040,0.000404
nurse,4,0.000053,0.000523
quite,53,0.000705,0.005115
mile,6,0.000080,0.000753
spends,4,0.000053,0.000523
double,12,0.000160,0.001395
difficulty,3,0.000040,0.000404
charge,5,0.000066,0.000639
midsole,4,0.000053,0.000523
read,39,0.000519,0.003923
terrific,7,0.000093,0.000864
pick,9,0.000120,0.001081
focus,3,0.000040,0.000404
speed,6,0.000080,0.000753
army,5,0.000066,0.000639
activity,7,0.000093,0.000864
hoped,6,0.000080,0.000753
bring,6,0.000080,0.000753
exellent,5,0.000066,0.000639
outdoor,11,0.000146,0.001292
traction,55,0.000731,0.005281
forever,8,0.000106,0.000973
nasty,3,0.000040,0.000404
note,21,0.000279,0.002285
process,6,0.000080,0.000753
smooth,11,0.000146,0.001292
amazoncom,6,0.000080,0.000753
timely,16,0.000213,0.001799
manner,6,0.000080,0.000753
lebrons,7,0.000093,0.000864
kobes,4,0.000053,0.000523
add,11,0.000146,0.001292
collection,14,0.000186,0.001599
course,84,0.001117,0.007592
mean,12,0.000160,0.001395
gotta,9,0.000120,0.001081
sorry,12,0.000160,0.001395
shot,7,0.000093,0.000864
jordan,65,0.000864,0.006096
adidas,19,0.000253,0.002093
matching,4,0.000053,0.000523
shoelaces,4,0.000053,0.000523
cleat,19,0.000253,0.002093
synthetic,9,0.000120,0.001081
spend,14,0.000186,0.001599
outgrow,3,0.000040,0.000404
season,17,0.000226,0.001898
turf,22,0.000293,0.002380
youth,10,0.000133,0.001187
football,13,0.000173,0.001497
tad,16,0.000213,0.001799
asap,3,0.000040,0.000404
flawless,5,0.000066,0.000639
seen,21,0.000279,0.002285
rock,10,0.000133,0.001187
shoot,3,0.000040,0.000404
shift,4,0.000053,0.000523
jumped,4,0.000053,0.000523
drop,6,0.000080,0.000753
grey,24,0.000319,0.002569
nephew,18,0.000239,0.001996
clothing,3,0.000040,0.000404
edges,5,0.000066,0.000639
cup,3,0.000040,0.000404
patent,3,0.000040,0.000404
mom,9,0.000120,0.001081
obsessed,3,0.000040,0.000404
lookin,8,0.000106,0.000973
meant,7,0.000093,0.000864
tiny,14,0.000186,0.001599
prevent,3,0.000040,0.000404
sliding,8,0.000106,0.000973
skinny,5,0.000066,0.000639
standing,17,0.000226,0.001898
wedge,4,0.000053,0.000523
sky,3,0.000040,0.000404
gets,30,0.000399,0.003122
anyways,7,0.000093,0.000864
sexy,4,0.000053,0.000523
faster,20,0.000266,0.002189
happier,14,0.000186,0.001599
choose,13,0.000173,0.001497
sold,19,0.000253,0.002093
flashy,10,0.000133,0.001187
gorgeous,7,0.000093,0.000864
pinch,6,0.000080,0.000753
straps,17,0.000226,0.001898
details,7,0.000093,0.000864
ridiculously,4,0.000053,0.000523
case,20,0.000266,0.002189
particular,19,0.000253,0.002093
wouldve,10,0.000133,0.001187
sunday,3,0.000040,0.000404
night,13,0.000173,0.001497
tuesday,4,0.000053,0.000523
morning,13,0.000173,0.001497
business,15,0.000199,0.001699
club,8,0.000106,0.000973
given,15,0.000199,0.001699
included,3,0.000040,0.000404
stopped,6,0.000080,0.000753
bc,8,0.000106,0.000973
article,3,0.000040,0.000404
flatter,5,0.000066,0.000639
shape,13,0.000173,0.001497
athletic,25,0.000332,0.002662
reduce,5,0.000066,0.000639
gone,21,0.000279,0.002285
separated,4,0.000053,0.000523
bf,6,0.000080,0.000753
place,16,0.000213,0.001799
dude,3,0.000040,0.000404
wants,12,0.000160,0.001395
golf,344,0.004574,0.024643
beginner,3,0.000040,0.000404
supportive,27,0.000359,0.002848
brilliant,5,0.000066,0.000639
greatest,3,0.000040,0.000404
addition,4,0.000053,0.000523
practice,7,0.000093,0.000864
state,5,0.000066,0.000639
indicated,4,0.000053,0.000523
title,3,0.000040,0.000404
sitting,3,0.000040,0.000404
conditions,12,0.000160,0.001395
trainer,15,0.000199,0.001699
truly,6,0.000080,0.000753
younger,9,0.000120,0.001081
originals,5,0.000066,0.000639
typical,17,0.000226,0.001898
turn,9,0.000120,0.001081
tax,4,0.000053,0.000523
guys,24,0.000319,0.002569
finger,4,0.000053,0.000523
yall,5,0.000066,0.000639
huraches,3,0.000040,0.000404
pic,10,0.000133,0.001187
cracked,3,0.000040,0.000404
shoei,3,0.000040,0.000404
loving,13,0.000173,0.001497
dad,9,0.000120,0.001081
retros,3,0.000040,0.000404
missing,5,0.000066,0.000639
called,6,0.000080,0.000753
free,78,0.001037,0.007127
condition,49,0.000652,0.004780
stupid,5,0.000066,0.000639
kinda,19,0.000253,0.002093
string,4,0.000053,0.000523
ship,8,0.000106,0.000973
ugly,4,0.000053,0.000523
ur,8,0.000106,0.000973
opposed,4,0.000053,0.000523
suggested,3,0.000040,0.000404
mangled,3,0.000040,0.000404
stretches,3,0.000040,0.000404
cut,20,0.000266,0.002189
piece,19,0.000253,0.002093
cardboard,4,0.000053,0.000523
insoles,15,0.000199,0.001699
hurting,11,0.000146,0.001292
factor,5,0.000066,0.000639
wondering,5,0.000066,0.000639
hate,12,0.000160,0.001395
bargain,4,0.000053,0.000523
speedy,5,0.000066,0.000639
slipped,9,0.000120,0.001081
searching,9,0.000120,0.001081
posted,4,0.000053,0.000523
change,31,0.000412,0.003213
classy,7,0.000093,0.000864
thatbr,3,0.000040,0.000404
shop,8,0.000106,0.000973
age,7,0.000093,0.000864
aware,9,0.000120,0.001081
outfits,6,0.000080,0.000753
flex,17,0.000226,0.001898
ankles,17,0.000226,0.001898
basic,8,0.000106,0.000973
replacement,11,0.000146,0.001292
tongues,3,0.000040,0.000404
supposed,19,0.000253,0.002093
broken,26,0.000346,0.002755
based,21,0.000279,0.002285
dr,6,0.000080,0.000753
scholls,3,0.000040,0.000404
halfsize,9,0.000120,0.001081
confort,4,0.000053,0.000523
periods,6,0.000080,0.000753
saucony,4,0.000053,0.000523
mind,17,0.000226,0.001898
grab,4,0.000053,0.000523
gonna,11,0.000146,0.001292
questions,4,0.000053,0.000523
wouldnt,31,0.000412,0.003213
blown,3,0.000040,0.000404
russian,3,0.000040,0.000404
male,4,0.000053,0.000523
proud,3,0.000040,0.000404
driving,7,0.000093,0.000864
barely,14,0.000186,0.001599
squeaks,6,0.000080,0.000753
car,8,0.000106,0.000973
grand,5,0.000066,0.000639
immediately,16,0.000213,0.001799
changed,16,0.000213,0.001799
sleep,4,0.000053,0.000523
garage,4,0.000053,0.000523
street,8,0.000106,0.000973
fun,12,0.000160,0.001395
digging,4,0.000053,0.000523
marked,3,0.000040,0.000404
unlike,12,0.000160,0.001395
poor,17,0.000226,0.001898
hell,8,0.000106,0.000973
joy,3,0.000040,0.000404
hes,47,0.000625,0.004611
yay,3,0.000040,0.000404
guy,12,0.000160,0.001395
saved,14,0.000186,0.001599
women,8,0.000106,0.000973
recent,4,0.000053,0.000523
complains,3,0.000040,0.000404
swift,3,0.000040,0.000404
children,7,0.000093,0.000864
realized,6,0.000080,0.000753
chose,13,0.000173,0.001497
streets,3,0.000040,0.000404
torn,8,0.000106,0.000973
clothes,6,0.000080,0.000753
things,22,0.000293,0.002380
mouth,3,0.000040,0.000404
boys,26,0.000346,0.002755
wow,16,0.000213,0.001799
anticipated,5,0.000066,0.000639
equipment,3,0.000040,0.000404
catch,5,0.000066,0.000639
peoples,3,0.000040,0.000404
eyes,6,0.000080,0.000753
elite,3,0.000040,0.000404
instead,42,0.000558,0.004183
pulling,5,0.000066,0.000639
sign,5,0.000066,0.000639
velcro,12,0.000160,0.001395
waiting,6,0.000080,0.000753
conform,4,0.000053,0.000523
flat,45,0.000598,0.004441
supportbr,3,0.000040,0.000404
lighter,13,0.000173,0.001497
workouts,19,0.000253,0.002093
scratches,3,0.000040,0.000404
easily,37,0.000492,0.003748
excited,19,0.000253,0.002093
open,7,0.000093,0.000864
wrong,52,0.000691,0.005031
attention,12,0.000160,0.001395
gel,13,0.000173,0.001497
inserts,21,0.000279,0.002285
therapist,3,0.000040,0.000404
office,10,0.000133,0.001187
girls,8,0.000106,0.000973
putting,18,0.000239,0.001996
pressure,9,0.000120,0.001081
fabulous,7,0.000093,0.000864
comments,17,0.000226,0.001898
plan,17,0.000226,0.001898
kitchen,6,0.000080,0.000753
toddler,13,0.000173,0.001497
girlfriend,6,0.000080,0.000753
consistently,6,0.000080,0.000753
shes,9,0.000120,0.001081
incredibly,18,0.000239,0.001996
certainly,7,0.000093,0.000864
zoom,10,0.000133,0.001187
specific,11,0.000146,0.001292
dicks,4,0.000053,0.000523
sporting,7,0.000093,0.000864
goods,4,0.000053,0.000523
colored,5,0.000066,0.000639
marathons,3,0.000040,0.000404
adrenaline,3,0.000040,0.000404
followed,3,0.000040,0.000404
glide,8,0.000106,0.000973
structure,5,0.000066,0.000639
neuroma,7,0.000093,0.000864
popular,7,0.000093,0.000864
forgiving,3,0.000040,0.000404
lbs,7,0.000093,0.000864
pronate,4,0.000053,0.000523
designed,23,0.000306,0.002475
taken,7,0.000093,0.000864
concrete,16,0.000213,0.001799
ideal,6,0.000080,0.000753
sport,13,0.000173,0.001497
arches,26,0.000346,0.002755
properly,12,0.000160,0.001395
estimated,6,0.000080,0.000753
throwback,4,0.000053,0.000523
gold,6,0.000080,0.000753
scuff,8,0.000106,0.000973
step,22,0.000293,0.002380
generally,15,0.000199,0.001699
additional,5,0.000066,0.000639
vomero,4,0.000053,0.000523
flexible,37,0.000492,0.003748
rigid,3,0.000040,0.000404
handful,4,0.000053,0.000523
impression,4,0.000053,0.000523
portion,5,0.000066,0.000639
guess,23,0.000306,0.002475
set,14,0.000186,0.001599
start,29,0.000386,0.003031
mold,7,0.000093,0.000864
elegant,5,0.000066,0.000639
minimum,3,0.000040,0.000404
improved,3,0.000040,0.000404
plenty,29,0.000386,0.003031
unfortunately,22,0.000293,0.002380
hassle,6,0.000080,0.000753
sharp,19,0.000253,0.002093
mall,8,0.000106,0.000973
decade,3,0.000040,0.000404
missed,4,0.000053,0.000523
cuz,3,0.000040,0.000404
saw,19,0.000253,0.002093
dollars,9,0.000120,0.001081
doubt,9,0.000120,0.001081
brother,21,0.000279,0.002285
field,9,0.000120,0.001081
child,14,0.000186,0.001599
ensure,3,0.000040,0.000404
growing,8,0.000106,0.000973
smallbr,7,0.000093,0.000864
contacted,3,0.000040,0.000404
prosbr,4,0.000053,0.000523
unbelievably,3,0.000040,0.000404
consbr,4,0.000053,0.000523
sizing,40,0.000532,0.004010
aaa,3,0.000040,0.000404
elastic,6,0.000080,0.000753
angle,3,0.000040,0.000404
awful,9,0.000120,0.001081
granddaughter,18,0.000239,0.001996
pictured,11,0.000146,0.001292
matches,6,0.000080,0.000753
growth,5,0.000066,0.000639
sized,17,0.000226,0.001898
uses,12,0.000160,0.001395
neat,4,0.000053,0.000523
awhile,14,0.000186,0.001599
fyi,5,0.000066,0.000639
purpose,10,0.000133,0.001187
sandals,71,0.000944,0.006576
sons,19,0.000253,0.002093
spring,5,0.000066,0.000639
sandal,36,0.000479,0.003659
stays,4,0.000053,0.000523
disneyland,4,0.000053,0.000523
hand,6,0.000080,0.000753
threw,4,0.000053,0.000523
adjustable,13,0.000173,0.001497
uniform,6,0.000080,0.000753
balance,18,0.000239,0.001996
grateful,3,0.000040,0.000404
usa,8,0.000106,0.000973
foamposites,3,0.000040,0.000404
changes,10,0.000133,0.001187
notch,5,0.000066,0.000639
id,47,0.000625,0.004611
againbr,6,0.000080,0.000753
footed,12,0.000160,0.001395
sellers,4,0.000053,0.000523
slides,43,0.000572,0.004269
believe,28,0.000372,0.002940
friday,7,0.000093,0.000864
slip,28,0.000372,0.002940
flip,31,0.000412,0.003213
flops,24,0.000319,0.002569
regardless,4,0.000053,0.000523
begun,3,0.000040,0.000404
fault,7,0.000093,0.000864
explain,4,0.000053,0.000523
trip,11,0.000146,0.001292
retailer,3,0.000040,0.000404
prime,12,0.000160,0.001395
hadnt,3,0.000040,0.000404
slipper,6,0.000080,0.000753
tags,3,0.000040,0.000404
lasts,6,0.000080,0.000753
garbage,7,0.000093,0.000864
poorly,4,0.000053,0.000523
shower,4,0.000053,0.000523
fairly,9,0.000120,0.001081
consistent,7,0.000093,0.000864
slide,16,0.000213,0.001799
stretcher,3,0.000040,0.000404
appear,9,0.000120,0.001081
send,23,0.000306,0.002475
anybody,7,0.000093,0.000864
yard,9,0.000120,0.001081
flop,5,0.000066,0.000639
pushed,4,0.000053,0.000523
absolute,8,0.000106,0.000973
lost,9,0.000120,0.001081
upset,4,0.000053,0.000523
thickness,4,0.000053,0.000523
hang,4,0.000053,0.000523
suck,3,0.000040,0.000404
shrank,3,0.000040,0.000404
sun,5,0.000066,0.000639
apparently,5,0.000066,0.000639
beach,12,0.000160,0.001395
desired,3,0.000040,0.000404
secure,8,0.000106,0.000973
footbed,4,0.000053,0.000523
met,7,0.000093,0.000864
keeps,12,0.000160,0.001395
struggle,6,0.000080,0.000753
forefoot,9,0.000120,0.001081
wise,12,0.000160,0.001395
hubby,14,0.000186,0.001599
sliders,10,0.000133,0.001187
cushiony,5,0.000066,0.000639
daughters,9,0.000120,0.001081
sideways,3,0.000040,0.000404
steps,6,0.000080,0.000753
happens,5,0.000066,0.000639
fakes,7,0.000093,0.000864
family,10,0.000133,0.001187
defective,5,0.000066,0.000639
mistake,10,0.000133,0.001187
friends,16,0.000213,0.001799
offered,3,0.000040,0.000404
falling,15,0.000199,0.001699
exelente,5,0.000066,0.000639
baseball,5,0.000066,0.000639
overpriced,4,0.000053,0.000523
bang,4,0.000053,0.000523
buck,4,0.000053,0.000523
tore,6,0.000080,0.000753
theyd,8,0.000106,0.000973
molded,4,0.000053,0.000523
volleyball,4,0.000053,0.000523
allowed,4,0.000053,0.000523
retail,12,0.000160,0.001395
band,4,0.000053,0.000523
slippery,8,0.000106,0.000973
cheaply,11,0.000146,0.001292
bag,9,0.000120,0.001081
logo,10,0.000133,0.001187
duty,5,0.000066,0.000639
weekends,4,0.000053,0.000523
damn,5,0.000066,0.000639
stolen,3,0.000040,0.000404
scratch,5,0.000066,0.000639
horrible,13,0.000173,0.001497
skin,8,0.000106,0.000973
stretching,5,0.000066,0.000639
cushy,7,0.000093,0.000864
bball,4,0.000053,0.000523
asked,8,0.000106,0.000973
spent,10,0.000133,0.001187
date,17,0.000226,0.001898
sick,15,0.000199,0.001699
orthotic,4,0.000053,0.000523
worst,11,0.000146,0.001292
childs,3,0.000040,0.000404
explained,3,0.000040,0.000404
niece,4,0.000053,0.000523
christmas,15,0.000199,0.001699
handle,4,0.000053,0.000523
tightness,5,0.000066,0.000639
returns,6,0.000080,0.000753
hiking,10,0.000133,0.001187
strongly,4,0.000053,0.000523
carry,5,0.000066,0.000639
ripped,21,0.000279,0.002285
arrival,6,0.000080,0.000753
ups,3,0.000040,0.000404
rolling,3,0.000040,0.000404
tearing,8,0.000106,0.000973
knock,5,0.000066,0.000639
middle,12,0.000160,0.001395
rubbed,6,0.000080,0.000753
picked,14,0.000186,0.001599
warning,4,0.000053,0.000523
exchange,13,0.000173,0.001497
sending,3,0.000040,0.000404
awsome,8,0.000106,0.000973
matter,13,0.000173,0.001497
young,5,0.000066,0.000639
stitching,14,0.000186,0.001599
disappointing,11,0.000146,0.001292
practices,3,0.000040,0.000404
yr,18,0.000239,0.001996
